valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo
0.44,2012,0.375,Lata Mangeshkar,0.772,205945,0.413,FALSE,wilaa7,0.036,5,0.229,-4.72,0,DJ Waley Babu,50,0.096,121.65
0.31,2014,0.317,Shreya Ghoshal,0.779,264664,0.571,TRUE,3elpzz,0.074,6,0.137,-6.28,0,Channa Mereya,72,0.024,136.44
0.89,2021,0.426,Armaan Malik,0.67,196364,0.481,TRUE,b150tx,0.102,2,0.211,-6.33,0,Tujhe Kitna Chahne Lage,92,0.095,97.03
0.18,2024,0.562,Lata Mangeshkar,0.436,205351,0.593,FALSE,7gdk29,0.063,8,0.187,-6.61,1,Dilbar,84,0.099,98.88
0.89,2018,0.694,Billie Eilish,0.614,251180,0.77,FALSE,3qtyvm,0.134,0,0.063,-2.33,0,Uptown Funk,61,0.048,136.98
0.64,2021,0.386,Armaan Malik,0.547,269112,0.677,FALSE,wpn4e8,0.133,10,0.226,-2.25,0,DJ Waley Babu,59,0.087,130.68
0.8,2020,0.58,Sunidhi Chauhan,0.441,234693,0.893,FALSE,avqgyd,0.053,11,0.071,-3.78,1,Tujhe Kitna Chahne Lage,88,0.054,133.44
0.59,2023,0.606,Adele,0.784,205470,0.725,FALSE,m1y6f5,0.083,4,0.061,-2.6,1,Can't Feel My Face,86,0.04,118.68
0.35,2025,0.797,Coldplay,0.748,248866,0.851,TRUE,lj5phl,0.016,4,0.119,-8.5,1,Thinking Out Loud,57,0.048,110.86
0.69,2022,0.452,Coldplay,0.555,237043,0.701,FALSE,m8frey,0.063,7,0.269,-5.59,0,Girls Like You,82,0.082,103.63
0.92,2020,0.682,Dhvani Bhanushali,0.819,198017,0.418,TRUE,uf1qe4,0.112,2,0.189,-3.85,0,Tujhe Kitna Chahne Lage,59,0.088,87.31
0.62,2024,0.221,Arijit Singh,0.736,288319,0.423,FALSE,z7clae,0.013,10,0.151,-8.93,0,DJ Waley Babu,72,0.08,113.42
0.62,2017,0.785,Badshah,0.704,253553,0.596,FALSE,76xo3q,0.142,3,0.165,-3.26,0,Channa Mereya,69,0.057,138.6
0.21,2018,0.164,Badshah,0.469,204071,0.49,FALSE,yc5c02,0.146,9,0.106,-3.43,1,Bekhayali,77,0.048,72.23
0.28,2023,0.323,Dhvani Bhanushali,0.652,292428,0.561,TRUE,v3qz9a,0.013,2,0.096,-8.33,0,Bekhayali,71,0.039,123.2
0.23,2025,0.15,Neha Kakkar,0.744,262838,0.656,FALSE,r8oy1j,0.085,0,0.103,-7.38,1,Tujhe Kitna Chahne Lage,74,0.091,111.55
0.51,2024,0.488,Badshah,0.768,192910,0.773,FALSE,sfz7f6,0.001,4,0.088,-8.03,1,Bekhayali,79,0.035,89.96
0.14,2018,0.064,Billie Eilish,0.748,189111,0.456,FALSE,1kdof3,0.026,2,0.255,-4.25,0,Viva La Vida,57,0.058,128.7
0.46,2015,0.431,Imagine Dragons,0.521,247584,0.705,FALSE,k9mc6f,0.05,9,0.187,-5.61,1,Anti-Hero,62,0.075,76.15
0.61,2020,0.404,Coldplay,0.606,273789,0.453,FALSE,nki7l8,0.01,7,0.23,-9.62,0,Thinking Out Loud,57,0.086,122.54
0.79,2016,0.549,Badshah,0.662,200611,0.558,FALSE,rhn56w,0.066,0,0.108,-2.8,0,Vaaste,51,0.063,133.45
0.38,2017,0.598,Badshah,0.747,236819,0.797,FALSE,309260,0.112,3,0.192,-3.9,0,Tera Ban Jaunga,59,0.047,127.49
0.44,2015,0.648,Maroon 5,0.475,194382,0.604,FALSE,0499z0,0.052,10,0.29,-7.26,1,Uptown Funk,57,0.054,90.16
0.19,2025,0.242,Lata Mangeshkar,0.763,207306,0.866,FALSE,deh14i,0.064,7,0.26,-2.71,0,Kala Chashma,95,0.039,81.59
0.84,2012,0.439,Billie Eilish,0.696,248244,0.59,FALSE,jz8yzk,0.138,6,0.137,-4.1,0,Viva La Vida,92,0.023,133.89
0.46,2015,0.736,Coldplay,0.581,274270,0.539,FALSE,ugqttv,0.013,7,0.176,-5.24,0,Bad Guy,79,0.08,84.69
0.16,2014,0.632,Arijit Singh,0.627,208865,0.667,FALSE,3dah2c,0.056,9,0.274,-5.79,0,Kala Chashma,72,0.098,128.79
0.29,2020,0.223,Sunidhi Chauhan,0.736,294684,0.698,FALSE,c61h78,0.036,7,0.252,-2.3,1,Tum Hi Ho,86,0.031,98.45
0.17,2021,0.206,The Weeknd,0.413,216220,0.838,FALSE,rbaetk,0.039,1,0.141,-9.73,1,Bad Guy,54,0.048,124.17
0.93,2015,0.635,Dua Lipa,0.457,228285,0.644,FALSE,5qqnib,0.095,6,0.105,-4.84,1,Hello,53,0.031,133.04
0.55,2013,0.661,Dhvani Bhanushali,0.649,206657,0.677,FALSE,lwvu04,0.131,7,0.113,-4.94,0,Tera Ban Jaunga,56,0.066,128.67
0.91,2023,0.188,Lata Mangeshkar,0.445,267410,0.523,FALSE,k987xv,0.11,0,0.117,-5.68,0,Dilbar,84,0.087,129.25
0.5,2021,0.308,Neha Kakkar,0.576,234912,0.648,FALSE,y8c37l,0.054,11,0.252,-2.3,0,Bekhayali,59,0.075,106.49
0.64,2019,0.619,Bruno Mars,0.762,285423,0.825,FALSE,ylozz5,0.106,6,0.3,-5.55,1,Hello,56,0.023,118.82
0.9,2022,0.406,Bruno Mars,0.831,205510,0.628,FALSE,qn4x87,0.133,10,0.135,-4.2,1,Can't Feel My Face,88,0.045,107.76
0.85,2012,0.512,Kishore Kumar,0.516,254038,0.631,FALSE,mmr558,0.011,3,0.063,-9.29,1,Dilbar,93,0.07,131.16
0.54,2018,0.599,Lata Mangeshkar,0.402,289996,0.577,FALSE,dryaoi,0.016,8,0.22,-8.25,1,Bekhayali,86,0.083,76.26
0.87,2022,0.792,Sunidhi Chauhan,0.772,242211,0.516,FALSE,j7zcfe,0.009,6,0.271,-2.58,1,Kala Chashma,98,0.034,97.74
0.79,2014,0.218,Arijit Singh,0.512,255758,0.417,FALSE,7kc12i,0.007,1,0.266,-3.52,1,Kala Chashma,74,0.064,76.09
0.71,2022,0.422,Shreya Ghoshal,0.441,189903,0.742,TRUE,q52c70,0.13,0,0.27,-3.62,1,Kala Chashma,77,0.088,130.71
0.19,2021,0.574,Kishore Kumar,0.495,243620,0.84,FALSE,4wj534,0,1,0.258,-5.94,0,Vaaste,51,0.043,113.18
0.64,2013,0.455,Arijit Singh,0.79,250981,0.542,TRUE,571o32,0.118,3,0.222,-9.46,0,Kala Chashma,66,0.082,119.6
0.14,2019,0.704,Shreya Ghoshal,0.887,204860,0.623,FALSE,lg2k6f,0.056,2,0.113,-9.99,1,Tujhe Kitna Chahne Lage,95,0.057,136.1
0.8,2018,0.274,Coldplay,0.82,292302,0.74,FALSE,0cq12u,0.136,4,0.21,-6.82,0,Bad Guy,54,0.099,98.65
0.65,2012,0.326,Neha Kakkar,0.832,198639,0.672,FALSE,yq2ho0,0.127,3,0.054,-3.63,1,DJ Waley Babu,73,0.094,113.17
0.62,2012,0.236,Kishore Kumar,0.679,245455,0.646,TRUE,bxhkmq,0.002,1,0.22,-6.84,0,Channa Mereya,80,0.078,115.99
0.72,2019,0.612,Shreya Ghoshal,0.473,219499,0.893,TRUE,pv1t6j,0.116,1,0.132,-5.86,0,Bekhayali,90,0.048,72.32
0.93,2013,0.201,Taylor Swift,0.747,248577,0.421,FALSE,kcfifi,0.008,8,0.227,-3.03,1,Bad Guy,77,0.084,93.76
0.61,2015,0.638,Atif Aslam,0.64,236446,0.663,FALSE,krlwlm,0.072,2,0.105,-2.19,1,Main Rahoon Ya Na Rahoon,94,0.035,125.28
0.71,2017,0.221,Badshah,0.898,182920,0.647,TRUE,82o6gl,0.026,4,0.232,-4.06,1,Dilbar,86,0.048,95.97
0.54,2012,0.491,Sunidhi Chauhan,0.415,211585,0.643,FALSE,79flcr,0.095,0,0.083,-4.27,1,Dilbar,79,0.034,86.63
0.16,2016,0.378,Atif Aslam,0.449,274588,0.623,FALSE,ytbfqy,0.145,1,0.264,-9.93,0,Vaaste,89,0.068,97.77
0.24,2017,0.44,Imagine Dragons,0.569,291453,0.473,FALSE,hlat1l,0.071,0,0.226,-6.43,0,Hello,64,0.065,107.79
0.9,2016,0.08,The Weeknd,0.461,266213,0.49,TRUE,6nltx7,0.048,8,0.195,-7.97,0,Viva La Vida,99,0.047,107.26
0.72,2021,0.172,Maroon 5,0.494,287510,0.736,FALSE,ev7azj,0.003,1,0.204,-3.05,1,Can't Feel My Face,98,0.022,135.17
0.9,2014,0.67,Arijit Singh,0.733,206984,0.453,FALSE,fi6ymi,0.014,8,0.077,-4.8,1,Tum Hi Ho,95,0.094,100.67
0.84,2014,0.332,Kishore Kumar,0.548,295142,0.403,FALSE,lgous2,0.067,0,0.186,-6.44,1,Channa Mereya,75,0.067,81.79
0.56,2014,0.764,Neha Kakkar,0.824,272059,0.413,FALSE,le7o9o,0.059,6,0.253,-4.26,0,Bekhayali,92,0.021,83.7
0.89,2015,0.095,Dua Lipa,0.867,217650,0.451,FALSE,0218hp,0.013,1,0.15,-2.19,1,Viva La Vida,74,0.062,78.63
0.77,2019,0.189,Atif Aslam,0.859,299891,0.642,FALSE,amvuv1,0.034,8,0.212,-8.6,0,Channa Mereya,91,0.092,94.74
0.72,2013,0.688,Dua Lipa,0.736,268920,0.448,FALSE,6e876u,0.014,4,0.21,-5.14,1,Girls Like You,60,0.039,97.36
0.61,2014,0.557,Kishore Kumar,0.621,268700,0.759,FALSE,xsdz59,0.013,0,0.199,-6.79,0,Dilbar,55,0.048,74.86
0.3,2023,0.455,Neha Kakkar,0.84,253794,0.666,FALSE,cvfbwb,0.054,2,0.233,-6.28,1,Vaaste,71,0.065,137.03
0.18,2021,0.388,Coldplay,0.778,209328,0.55,FALSE,cp3w1e,0.111,7,0.185,-3.26,0,Bad Guy,69,0.07,76.24
0.76,2023,0.582,Arijit Singh,0.418,299264,0.514,FALSE,ub0iak,0.124,6,0.286,-3.01,1,Vaaste,84,0.083,110.22
0.89,2023,0.137,Armaan Malik,0.809,214594,0.737,FALSE,nfcpgn,0.012,4,0.056,-8.77,0,Tujhe Kitna Chahne Lage,67,0.097,110.11
0.83,2024,0.742,Neha Kakkar,0.644,271245,0.849,FALSE,c8fym7,0.01,1,0.177,-8.14,0,Bekhayali,61,0.097,100.27
0.19,2024,0.531,Maroon 5,0.508,266269,0.701,FALSE,4es7jy,0.009,10,0.239,-5.04,0,Can't Feel My Face,58,0.054,81.95
0.63,2023,0.525,Adele,0.514,223108,0.708,FALSE,98g01v,0.124,4,0.147,-2.29,0,Bad Guy,51,0.031,99.3
0.22,2018,0.451,Dhvani Bhanushali,0.508,202740,0.817,FALSE,r59q8k,0.068,3,0.117,-8.81,1,Tujhe Kitna Chahne Lage,53,0.089,87.04
0.44,2024,0.395,Badshah,0.793,288940,0.467,TRUE,iab26j,0.14,11,0.245,-3.4,0,Bekhayali,83,0.051,101.51
0.85,2019,0.129,Ed Sheeran,0.894,202614,0.74,TRUE,wax8xq,0.143,4,0.147,-6.3,1,Bad Guy,60,0.098,135.96
0.57,2016,0.673,Badshah,0.434,227241,0.41,TRUE,1q4hyi,0.057,1,0.053,-7.96,1,Tujhe Kitna Chahne Lage,63,0.026,137.19
0.21,2016,0.406,Neha Kakkar,0.457,279084,0.691,FALSE,557kjo,0.017,1,0.106,-7.02,0,Tujhe Kitna Chahne Lage,63,0.055,112.91
0.27,2023,0.715,Armaan Malik,0.723,257794,0.736,FALSE,lrumuh,0.112,6,0.095,-9.57,1,Vaaste,71,0.08,88.85
0.68,2024,0.119,Neha Kakkar,0.883,271598,0.653,FALSE,mv6csw,0.103,6,0.194,-2.98,0,Dilbar,96,0.033,109.06
0.34,2012,0.195,Dhvani Bhanushali,0.84,290058,0.555,FALSE,00bmi9,0.001,9,0.26,-3.34,1,DJ Waley Babu,63,0.08,123.11
0.85,2017,0.797,Badshah,0.584,189596,0.722,FALSE,8zuujd,0.027,3,0.151,-3.01,0,Channa Mereya,63,0.078,77.29
0.61,2019,0.557,Maroon 5,0.802,243646,0.411,FALSE,svxl34,0.124,2,0.16,-8.82,0,Girls Like You,98,0.055,76.2
0.25,2024,0.528,Coldplay,0.648,263930,0.743,FALSE,kizpej,0.05,10,0.056,-3.35,0,Anti-Hero,55,0.061,90.91
0.29,2025,0.333,Lata Mangeshkar,0.631,222963,0.801,FALSE,e9fzd8,0.066,8,0.052,-9.54,1,DJ Waley Babu,93,0.031,122.6
0.34,2025,0.083,Armaan Malik,0.418,283302,0.523,FALSE,jpp4ym,0.04,8,0.172,-9.73,1,Vaaste,67,0.093,79.75
0.86,2017,0.066,Arijit Singh,0.732,246707,0.464,FALSE,uznure,0.098,9,0.098,-7.29,0,Channa Mereya,74,0.096,137.71
0.29,2016,0.238,Ed Sheeran,0.825,199446,0.673,FALSE,71vq7f,0.034,1,0.171,-8.67,1,Can't Feel My Face,71,0.088,116.83
0.35,2017,0.64,Badshah,0.456,250202,0.63,TRUE,5gutzd,0.114,5,0.054,-8.99,0,Channa Mereya,71,0.033,87.88
0.76,2023,0.07,Sunidhi Chauhan,0.433,193565,0.572,FALSE,8fwyse,0.145,7,0.097,-9.25,1,Tujhe Kitna Chahne Lage,77,0.081,89.35
0.23,2013,0.572,Coldplay,0.797,264742,0.707,FALSE,061ah5,0.098,10,0.128,-3.61,1,Uptown Funk,68,0.091,126.25
0.67,2016,0.526,Arijit Singh,0.483,181125,0.89,FALSE,0eyc6d,0.108,1,0.102,-6.97,0,Channa Mereya,77,0.089,127.33
0.87,2022,0.539,Badshah,0.557,261623,0.647,FALSE,13zu1z,0.015,4,0.155,-2.76,0,Bekhayali,96,0.035,112.96
0.79,2016,0.683,Shreya Ghoshal,0.527,258112,0.463,FALSE,b81fit,0.034,7,0.068,-9.38,0,Tum Hi Ho,53,0.089,85.09
0.36,2020,0.54,Dua Lipa,0.869,262379,0.516,FALSE,mor6f0,0.084,10,0.147,-6.96,1,Hello,85,0.051,79.02
0.46,2020,0.07,Armaan Malik,0.883,233909,0.829,FALSE,csi1tg,0.093,8,0.126,-3.36,1,Tum Hi Ho,68,0.09,77.88
0.31,2012,0.059,Armaan Malik,0.634,292728,0.812,TRUE,n3dd1h,0.132,5,0.273,-8.52,0,Kala Chashma,65,0.039,125.62
0.54,2016,0.098,Adele,0.816,222946,0.644,FALSE,iid8q7,0.132,0,0.056,-4.44,1,Can't Feel My Face,61,0.093,102.51
0.48,2015,0.505,Adele,0.716,276019,0.794,FALSE,g11dvl,0.073,5,0.116,-7.83,0,Believer,90,0.061,114.39
0.13,2012,0.503,Coldplay,0.854,292082,0.538,FALSE,28n8tm,0.081,0,0.052,-8.25,0,Can't Feel My Face,69,0.029,93.72
0.14,2022,0.258,Arijit Singh,0.808,250448,0.709,TRUE,mkskma,0.058,2,0.153,-2.74,0,Tujhe Kitna Chahne Lage,94,0.069,91.66
0.1,2016,0.527,Atif Aslam,0.426,215820,0.815,TRUE,trrbd3,0.12,3,0.142,-9.03,1,Tujhe Kitna Chahne Lage,89,0.08,74.97
0.67,2013,0.559,Coldplay,0.581,190058,0.699,FALSE,i1ctf0,0.111,5,0.257,-2.07,1,Bad Guy,66,0.076,107.27
0.2,2016,0.469,Atif Aslam,0.572,252982,0.808,TRUE,ur98i3,0.067,1,0.146,-6.4,1,Tujhe Kitna Chahne Lage,64,0.081,76.92
0.7,2017,0.566,Lata Mangeshkar,0.587,268503,0.483,FALSE,aats2j,0.097,11,0.052,-6.91,0,Bekhayali,60,0.045,117.4
0.94,2019,0.391,Neha Kakkar,0.744,263820,0.886,FALSE,xckdz0,0.031,10,0.147,-8.72,1,Main Rahoon Ya Na Rahoon,55,0.08,102.1
0.41,2024,0.331,Dua Lipa,0.637,203173,0.701,FALSE,2mq5vd,0.147,8,0.188,-5.67,1,Believer,72,0.055,91.16
0.53,2012,0.558,Adele,0.518,180138,0.679,FALSE,1x8m7k,0.031,0,0.234,-7.6,1,Believer,73,0.07,84.09
0.56,2016,0.221,Dua Lipa,0.882,181140,0.7,FALSE,luk1eq,0.102,8,0.269,-2.45,0,Thinking Out Loud,68,0.061,76.56
0.52,2021,0.442,Shreya Ghoshal,0.681,182454,0.593,FALSE,qn0r1d,0.121,2,0.1,-9.13,1,Channa Mereya,94,0.055,129.29
0.48,2014,0.433,Badshah,0.713,272446,0.767,FALSE,v2vcju,0.054,1,0.133,-4.14,1,Tera Ban Jaunga,79,0.021,139.85
0.1,2018,0.083,Arijit Singh,0.571,189764,0.77,TRUE,heia98,0.092,7,0.15,-4.21,1,Kala Chashma,53,0.053,74.62
0.91,2024,0.442,Adele,0.55,260807,0.456,FALSE,pbbzm4,0.035,6,0.15,-7.66,1,Can't Feel My Face,76,0.022,110.83
0.93,2025,0.503,Arijit Singh,0.579,269400,0.78,FALSE,w5jj9h,0.083,3,0.221,-8.06,1,Bekhayali,95,0.086,126.28
0.33,2019,0.423,Armaan Malik,0.542,217713,0.812,FALSE,lo42zr,0.041,5,0.274,-5.33,1,Channa Mereya,90,0.047,135.83
0.33,2022,0.682,Coldplay,0.557,276867,0.854,FALSE,sflqwz,0.085,11,0.208,-4.37,1,Thinking Out Loud,96,0.033,119.91
0.21,2023,0.557,Arijit Singh,0.872,251368,0.453,FALSE,lq18rn,0.116,8,0.063,-3.86,1,Kala Chashma,86,0.086,129.52
0.72,2022,0.536,Coldplay,0.798,288374,0.704,FALSE,xhg9rc,0.047,11,0.063,-4.54,1,Anti-Hero,50,0.091,90.12
0.76,2017,0.458,Coldplay,0.45,290153,0.407,FALSE,xbvq9n,0.062,8,0.234,-7.36,1,Thinking Out Loud,73,0.078,131.44
0.37,2012,0.63,Imagine Dragons,0.786,288647,0.466,FALSE,37fg55,0.044,0,0.235,-8.21,0,Anti-Hero,61,0.02,90.99
0.12,2014,0.724,Atif Aslam,0.792,227832,0.546,FALSE,dc2277,0.073,11,0.168,-9.54,1,Main Rahoon Ya Na Rahoon,89,0.095,124.96
0.27,2020,0.594,Neha Kakkar,0.71,257240,0.711,FALSE,skmhd4,0.101,10,0.252,-2.42,1,Tera Ban Jaunga,73,0.078,107.72
0.89,2012,0.423,The Weeknd,0.515,215063,0.467,FALSE,07o5ue,0.093,5,0.24,-5.63,1,Believer,62,0.057,109.26
0.93,2012,0.645,Sunidhi Chauhan,0.827,193979,0.73,TRUE,d8zlky,0.138,6,0.068,-5.02,1,Tum Hi Ho,55,0.035,125.48
0.44,2022,0.765,Neha Kakkar,0.884,188711,0.481,FALSE,593aqt,0.085,5,0.264,-5.18,0,Tum Hi Ho,59,0.083,96.39
0.37,2021,0.686,Dhvani Bhanushali,0.764,185722,0.527,FALSE,2cmj9i,0.023,6,0.28,-2.05,1,Kala Chashma,74,0.081,96.02
0.91,2014,0.483,Dua Lipa,0.579,233521,0.896,FALSE,0rdaaz,0.138,3,0.057,-3.28,0,Hello,90,0.038,136.94
0.47,2024,0.589,Bruno Mars,0.682,229812,0.658,FALSE,sggzeu,0.114,6,0.169,-6.02,1,Viva La Vida,94,0.067,83.03
0.16,2022,0.756,Billie Eilish,0.653,260578,0.448,FALSE,972xxd,0.023,8,0.166,-9.64,1,Viva La Vida,72,0.094,97.43
0.45,2024,0.442,Kishore Kumar,0.427,288169,0.5,FALSE,utcvd1,0.047,2,0.216,-4.06,0,Bekhayali,62,0.054,91.21
0.21,2025,0.303,Coldplay,0.9,265731,0.892,FALSE,uuhp4j,0.003,1,0.245,-5.33,0,Hello,81,0.023,88.57
0.75,2022,0.127,Armaan Malik,0.657,222712,0.486,FALSE,xbo5fa,0.018,9,0.232,-3.11,0,Bekhayali,83,0.085,83.67
0.23,2015,0.139,Taylor Swift,0.782,198287,0.681,FALSE,aqczo9,0.118,3,0.146,-9.8,1,Girls Like You,84,0.021,119.26
0.7,2019,0.663,Atif Aslam,0.673,286416,0.67,FALSE,e0pfm8,0.143,10,0.27,-3.53,0,Main Rahoon Ya Na Rahoon,53,0.07,92.16
0.31,2019,0.519,Kishore Kumar,0.686,204335,0.891,FALSE,ph6lke,0.053,0,0.284,-6.56,1,Vaaste,63,0.068,87.3
0.68,2014,0.104,The Weeknd,0.503,187846,0.872,FALSE,gownws,0.118,7,0.298,-7.4,0,Viva La Vida,59,0.093,70.8
0.93,2013,0.135,Lata Mangeshkar,0.602,181988,0.495,FALSE,0lgcj7,0.072,1,0.122,-4.75,1,Tum Hi Ho,75,0.068,75.39
0.47,2022,0.572,Taylor Swift,0.629,281858,0.724,FALSE,7vcfo0,0.101,0,0.218,-5.33,0,Girls Like You,85,0.04,70.14
0.23,2020,0.759,Adele,0.768,293530,0.786,FALSE,3y1adg,0.038,3,0.285,-8.24,0,Believer,94,0.069,121.76
0.11,2021,0.375,Taylor Swift,0.446,187674,0.442,FALSE,od2i0z,0.149,11,0.203,-4.9,1,Thinking Out Loud,99,0.077,76.4
0.28,2012,0.253,Billie Eilish,0.524,292935,0.577,FALSE,6kpr3j,0.133,2,0.173,-7.73,1,Girls Like You,95,0.052,105.95
0.42,2025,0.741,Bruno Mars,0.692,188024,0.567,FALSE,6irub9,0.08,10,0.284,-9.49,1,Hello,71,0.083,111.92
0.5,2024,0.071,Taylor Swift,0.505,187296,0.782,FALSE,au2ej1,0.1,6,0.23,-3.39,0,Bad Guy,84,0.084,70.56
0.32,2018,0.607,Sunidhi Chauhan,0.438,249463,0.795,FALSE,55e9p6,0.048,8,0.069,-3.37,0,Tujhe Kitna Chahne Lage,71,0.062,125.61
0.47,2025,0.508,Atif Aslam,0.48,181700,0.606,FALSE,wqubfr,0.045,5,0.071,-9.85,0,DJ Waley Babu,81,0.091,86.91
0.54,2013,0.506,Adele,0.523,280598,0.522,FALSE,o1xhi6,0.064,2,0.22,-6.71,1,Girls Like You,50,0.036,92.93
0.55,2024,0.137,Arijit Singh,0.703,250463,0.867,FALSE,xzqgme,0.115,2,0.101,-5.94,0,Dilbar,50,0.021,125.49
0.69,2022,0.24,Adele,0.405,285115,0.749,FALSE,2vpgn2,0.028,1,0.151,-6.13,0,Levitating,95,0.051,126.25
0.51,2017,0.186,Neha Kakkar,0.772,298094,0.433,FALSE,rbmot2,0.084,2,0.105,-7.2,1,Kala Chashma,89,0.025,95.87
0.89,2022,0.334,Armaan Malik,0.816,222239,0.642,TRUE,7oy9hi,0.088,4,0.18,-7.2,1,Tujhe Kitna Chahne Lage,66,0.021,84.51
0.43,2023,0.169,Atif Aslam,0.529,197374,0.699,FALSE,9vlmkp,0.03,10,0.096,-5.2,1,Bekhayali,79,0.089,120.7
0.21,2013,0.383,Arijit Singh,0.625,187485,0.798,FALSE,cc3a35,0.029,9,0.12,-4.76,0,Tujhe Kitna Chahne Lage,71,0.025,124.38
0.77,2017,0.63,Atif Aslam,0.774,196544,0.616,TRUE,vfu58o,0.084,7,0.265,-3.73,0,Channa Mereya,95,0.091,92.77
0.82,2013,0.237,Sunidhi Chauhan,0.688,290335,0.884,FALSE,l405jc,0.15,2,0.193,-7.57,0,Tera Ban Jaunga,98,0.097,132.42
0.11,2014,0.063,Shreya Ghoshal,0.858,232656,0.781,TRUE,o8cpeu,0.06,2,0.195,-2.07,0,Vaaste,68,0.055,119.52
0.89,2018,0.747,Maroon 5,0.571,248798,0.506,FALSE,ldtynk,0.142,1,0.141,-3.09,1,Hello,72,0.094,114.22
0.33,2017,0.167,Coldplay,0.718,219104,0.49,FALSE,vq2nt6,0.091,10,0.163,-6.36,1,Viva La Vida,79,0.093,114.73
0.34,2012,0.741,Neha Kakkar,0.692,204519,0.447,FALSE,th2z3q,0.091,3,0.112,-4.47,0,Vaaste,56,0.06,138.33
0.85,2019,0.144,Dhvani Bhanushali,0.5,222788,0.849,FALSE,ho43tl,0.123,9,0.284,-9.32,0,Channa Mereya,83,0.026,84.76
0.9,2017,0.106,Maroon 5,0.619,199539,0.887,FALSE,hwkh23,0.003,9,0.114,-7.16,0,Can't Feel My Face,62,0.025,84.74
0.23,2019,0.112,Neha Kakkar,0.642,269462,0.753,FALSE,ejx8wq,0.066,9,0.256,-9.54,1,Tera Ban Jaunga,83,0.057,120.75
0.83,2012,0.285,Badshah,0.669,266694,0.681,FALSE,tz0urm,0.111,11,0.171,-3.29,0,Kala Chashma,84,0.084,78.63
0.86,2024,0.663,Kishore Kumar,0.655,193900,0.69,FALSE,4dhym5,0.042,5,0.264,-8.68,0,Kala Chashma,77,0.059,98.46
0.59,2018,0.157,Shreya Ghoshal,0.587,191874,0.869,FALSE,l42ey4,0.033,9,0.18,-5.29,1,Kala Chashma,62,0.07,112.02
0.33,2017,0.466,Maroon 5,0.5,196279,0.643,FALSE,whhzm1,0.114,6,0.172,-6.56,0,Thinking Out Loud,79,0.1,123.86
0.27,2025,0.305,The Weeknd,0.655,252307,0.735,FALSE,4w36ia,0.119,10,0.162,-8.1,0,Levitating,61,0.078,77.81
0.78,2022,0.344,Sunidhi Chauhan,0.775,293502,0.786,FALSE,2uuwfv,0.01,4,0.237,-6.55,1,Tum Hi Ho,90,0.043,99.3
0.67,2013,0.75,Dua Lipa,0.533,237616,0.727,FALSE,1bdvz9,0.145,3,0.22,-5.66,1,Hello,95,0.084,89.47
0.39,2021,0.676,Bruno Mars,0.868,193255,0.869,FALSE,0ipl4x,0.051,8,0.278,-8.48,1,Thinking Out Loud,91,0.092,115.33
0.79,2019,0.618,Adele,0.428,229422,0.631,FALSE,z7w4tl,0.136,6,0.125,-9.14,1,Hello,74,0.078,135.82
